filename,syllable,tone,tone_description,pitch_adjusted
wav-syllables/a1.wav,a,1,high level,true
wav-syllables/a2.wav,a,2,rising,false
wav-syllables/a3.wav,a,3,low dipping (half),false
wav-syllables/a4.wav,a,4,falling,false
wav-syllables/a5.wav,a,5,neutral,false
wav-syllables/a6.wav,a,6,neutral (high),true
wav-syllables/ai1.wav,ai,1,high level,true
wav-syllables/ai2.wav,ai,2,rising,false
wav-syllables/ai3.wav,ai,3,low dipping (half),false
wav-syllables/ai4.wav,ai,4,falling,false
wav-syllables/ai5.wav,ai,5,neutral,false
wav-syllables/ai6.wav,ai,6,neutral (high),true
wav-syllables/an1.wav,an,1,high level,true
wav-syllables/an2.wav,an,2,rising,false
wav-syllables/an3.wav,an,3,low dipping (half),false
wav-syllables/an4.wav,an,4,falling,false
wav-syllables/an5.wav,an,5,neutral,false
wav-syllables/an6.wav,an,6,neutral (high),true
wav-syllables/ang1.wav,ang,1,high level,true
wav-syllables/ang2.wav,ang,2,rising,false
wav-syllables/ang3.wav,ang,3,low dipping (half),false
wav-syllables/ang4.wav,ang,4,falling,false
wav-syllables/ang5.wav,ang,5,neutral,false
wav-syllables/ang6.wav,ang,6,neutral (high),true
wav-syllables/ao1.wav,ao,1,high level,true
wav-syllables/ao2.wav,ao,2,rising,false
wav-syllables/ao3.wav,ao,3,low dipping (half),false
wav-syllables/ao4.wav,ao,4,falling,false
wav-syllables/ao5.wav,ao,5,neutral,false
wav-syllables/ao6.wav,ao,6,neutral (high),true
wav-syllables/ba1.wav,ba,1,high level,true
wav-syllables/ba2.wav,ba,2,rising,false
wav-syllables/ba3.wav,ba,3,low dipping (half),false
wav-syllables/ba4.wav,ba,4,falling,false
wav-syllables/ba5.wav,ba,5,neutral,false
wav-syllables/ba6.wav,ba,6,neutral (high),true
wav-syllables/bai1.wav,bai,1,high level,true
wav-syllables/bai2.wav,bai,2,rising,false
wav-syllables/bai3.wav,bai,3,low dipping (half),false
wav-syllables/bai4.wav,bai,4,falling,false
wav-syllables/bai5.wav,bai,5,neutral,false
wav-syllables/bai6.wav,bai,6,neutral (high),true
wav-syllables/ban1.wav,ban,1,high level,true
wav-syllables/ban2.wav,ban,2,rising,false
wav-syllables/ban3.wav,ban,3,low dipping (half),false
wav-syllables/ban4.wav,ban,4,falling,false
wav-syllables/ban5.wav,ban,5,neutral,false
wav-syllables/ban6.wav,ban,6,neutral (high),true
wav-syllables/bang1.wav,bang,1,high level,true
wav-syllables/bang2.wav,bang,2,rising,false
wav-syllables/bang3.wav,bang,3,low dipping (half),false
wav-syllables/bang4.wav,bang,4,falling,false
wav-syllables/bang5.wav,bang,5,neutral,false
wav-syllables/bang6.wav,bang,6,neutral (high),true
wav-syllables/bao1.wav,bao,1,high level,true
wav-syllables/bao2.wav,bao,2,rising,false
wav-syllables/bao3.wav,bao,3,low dipping (half),false
wav-syllables/bao4.wav,bao,4,falling,false
wav-syllables/bao5.wav,bao,5,neutral,false
wav-syllables/bao6.wav,bao,6,neutral (high),true
wav-syllables/bei1.wav,bei,1,high level,true
wav-syllables/bei2.wav,bei,2,rising,false
wav-syllables/bei3.wav,bei,3,low dipping (half),false
wav-syllables/bei4.wav,bei,4,falling,false
wav-syllables/bei5.wav,bei,5,neutral,false
